negation , P-> its N 
weaken , N-> like N 
negation , P-> a N 
weaken , N->  N from
strengthen , P->  P to the
weaken , P->  P the
weaken , P-> to P 
weaken , P-> to the P 
weaken , P->  P its
negation , N-> to P 
negation , N->  P of
strengthen , N-> If N 
weaken , N->  N a
weaken , N-> there N 
weaken , P-> at P 
weaken , P-> at the P 
weaken , P->  P this
weaken , N-> its N 
weaken , N-> a N 
weaken , N-> an N 
weaken , P->  P as
strengthen , N->  N movie
weaken , N->  N than
weaken , P-> with P 
weaken , P-> and P 
weaken , P-> of P 
weaken , P->  P in
weaken , P->  P in the
negation , N-> are P 
negation , N->  P to
weaken , P-> more P 
weaken , N-> with N 
weaken , N->  N to
strengthen , N->  N something
weaken , P->  P from
weaken , P->  P one
strengthen , P->  P one of
weaken , P-> as P 
weaken , P->  P movies
negation , N-> but P 
negation , N-> of P 
negation , P->  N its
weaken , N-> the N 
negation , P-> the N 
weaken , N->  N is
negation , P-> it N 
weaken , P->  P to
weaken , N->  N but
negation , P->  N a
weaken , N-> has N 
weaken , P->  P on
weaken , P->  P on the
weaken , P->  P of
negation , P-> of N 
weaken , P->  P but
weaken , N-> Its N 
weaken , N->  N in
negation , P->  N it
weaken , N-> to N a
negation , P-> this N 
negation , N-> much P 
weaken , P->  P at
weaken , P-> the P 
weaken , P-> are P 
weaken , P-> your P 
weaken , P->  P and
weaken , N-> and N 
strengthen , P-> all P 
weaken , P->  P for
weaken , N-> what N 
weaken , N->  N say
strengthen , N-> trying N 
weaken , N->  N or
weaken , P-> a P 
weaken , P->  P about
weaken , P->  P that
weaken , N->  N as
weaken , N->  N out
weaken , P->  P out
negation , N->  P is
strengthen , P-> can P 
negation , P-> for N 
weaken , P->  P film
weaken , N-> to N 
weaken , N->  N on
weaken , P-> on P 
weaken , P->  P story
negation , P->  N the
negation , P-> an N 
strengthen , N->  N for
weaken , N->  N for the
weaken , N->  N the
negation , N->  P in the
weaken , N->  N by
strengthen , P-> is a P 
weaken , P-> an P 
negation , N-> an P 
negation , P-> and N 
negation , N-> the P 
weaken , P-> it P 
weaken , P->  P some
weaken , P-> some P 
negation , N-> some P 
strengthen , P->  P performances
strengthen , P-> strong P 
weaken , P-> that P 
weaken , P->  P a
weaken , N-> you N 
weaken , N-> just N 
strengthen , N->  N to be
weaken , N->  N be
weaken , N-> of N 
weaken , N-> The N 
negation , N-> their P 
weaken , P-> the P and
weaken , N->  N and
weaken , N-> the N of
weaken , N->  N of
negation , P->  N of the
weaken , P-> its P 
strengthen , N-> have N 
weaken , N->  N that
strengthen , P->  P through
negation , N->  P it
negation , N->  P that
negation , N->  P as
weaken , P-> is P 
negation , P-> than N 
weaken , N->  N in the
weaken , P->  P you
weaken , N->  N some
weaken , N->  N film
weaken , N-> the film N 
weaken , N-> film N 
negation , P->  N much
negation , P-> with N 
